block_number,block_hash,transaction_hash,transaction_index,log_index,timestamp,amount0_raw,amount1_raw,sqrt_price_x96,liquidity,tick
19999950,0x3ec7bc9b5564df9d6bb8ac9571c8a215029c40f65564d65399dca2a1962bc02b,0x5408e59197f729983717db370d699f8f8a2f7e3b07d50d83f4aa11ac234601e0,0,2,1717280807,254010179590,-66357474124893700895,1280700286608702083939659378399356,14844784382655527465,193821
19999951,0x6bb1029104ba334959a283ad609ddb04b78323eca93a31c95f29544818058aba,0xf9a67be656352d7a8d8a00d9651be70c6bcdbb386424e384b2223c515a64ae43,9,56,1717280819,-4315179638,1128116543305981996,1280706304473914867974678261974055,14844784382655527465,193821
19999952,0xed91068f71f66ba74e2e26630fea683887c616aacdbc6de848db1a5b83a936f8,0xc8cf921e163935a62b9a621a39e52da6487767bcfd948dfe93bad02d9790caf7,13,144,1717280831,-1876549606,490589293078893612,1280708921490975828692562427796058,14844784382655527465,193821
19999952,0xed91068f71f66ba74e2e26630fea683887c616aacdbc6de848db1a5b83a936f8,0xaff3b65de25da6edad5e9cba576806624f2360fe3840264bae0f6e335f897a8c,15,148,1717280831,100000000000,-26114230647238178921,1280569547115518423278356642490120,14844783339865939932,193819
19999952,0xed91068f71f66ba74e2e26630fea683887c616aacdbc6de848db1a5b83a936f8,0xcdf7b92dec2073336dd3a70d9811b3b5ff765e299558f0b56176648fad7c6a34,21,199,1717280831,-2508647399,655699999811698688,1280573044905280916398779182236053,14844783339865939932,193819
19999952,0xed91068f71f66ba74e2e26630fea683887c616aacdbc6de848db1a5b83a936f8,0xcdf7b92dec2073336dd3a70d9811b3b5ff765e299558f0b56176648fad7c6a34,21,213,1717280831,-1482532619,387499998213832704,1280575111999267659853088325786249,14844783339865939932,193819
19999952,0xed91068f71f66ba74e2e26630fea683887c616aacdbc6de848db1a5b83a936f8,0xa15fecf92bd9c2a4707aeb77eeae01f23a9c48887b7d22da9c49c00563be16c4,33,291,1717280831,-12066354928,3153914746549345337,1280591936356009194751940896121974,14844783339865939932,193819
19999952,0xed91068f71f66ba74e2e26630fea683887c616aacdbc6de848db1a5b83a936f8,0x609912bf5e75071ad2938203178c723f9bd994679435afa39a4fb698ac964ec0,87,347,1717280831,-1180409336,308540908254404553,1280593582247774502833280445219493,14844783339865939932,193819
19999952,0xed91068f71f66ba74e2e26630fea683887c616aacdbc6de848db1a5b83a936f8,0x4e5c435b800e6c5e03e7636239263216ebec192cbad44954fc31459fd9fca7a4,239,830,1717280831,-416566404,108884262729189698,1280594163083918440828042803847708,14844783339865939932,193819
19999953,0xb83722ebaaec8b74b838f6dd4b6c072edbafe5120fc77dbb6648362079c41ceb,0xbd9899b61f8f1f2b3eec5bc3da7afa3d7d917af7edb45a1f70dcc7a76a4f0e2c,8,86,1717280843,-2063723820,539428170626482778,1280597040629035658380513519947081,14844783339865939932,193819
19999953,0xb83722ebaaec8b74b838f6dd4b6c072edbafe5120fc77dbb6648362079c41ceb,0xa3cc557cd03bda626dfe6e7a7a50b31d9db59dd6c77727882db28153058c892c,10,92,1717280843,-1113081860,290944836170532853,1280598592655678482502203272290648,14844783339865939932,193819
