trade_id,trade_index,flow_class,direction,notional_quote_micro,execution_price_x18,reference_price_x18,markout_centibps,trailing_volatility_centibps
0x1d5c51af04d1ffbc81d8815debde2e5f79c44b87332ddec55acf4a5446e5a17a,0,informed,sell_base,1010009504,3822831584487798572108,3820838265898626285380,521,274
0x08cacc47ba35c795e92ad0e9623a914eb78bbbc0da14b428b3af889b58c0e160,1,informed,sell_base,13378604723,3822826571828744055809,3820838265898626285380,520,277
0x6d927cd5a30a99c8aa060ec84d17d790aa598a6b702c59f1d01220502afa2aa5,2,informed,sell_base,2674633172,3822805309199826673369,3819624966048319057222,832,135
0xb9486fea3a0f7fb69b3e0fd89a891f4fe3665aa5b0ae41ef46a27cb7292ccb51,3,informed,sell_base,59333970595,3822333634975078011510,3819750820725583100793,676,0
0xf88a90282f4b954b542c070a822ffbfe210a38a505ea7fe6d3811d24745baace,4,benign,buy_base,3000000000,3822357470793324783152,3820691779887077142328,-436,171
0xebe4dba127be70e53a5b36e68fbf094f50c961767e0e5566719b83c5521cc16c,5,benign,buy_base,108285338,3822358331151256962277,3820691779887077142328,-436,171
0xc17134cd0814a7565b35cc3b606522afc7c7c3c239a27ab90ea1f452d0b1ab56,6,benign,buy_base,16647689788,3822490602952642896019,3820682234817602443052,-473,134
0x784fac508fe8b5e1c8bd8633b16191574d82bc50ad56234c4cce953707b9c6a5,7,benign,buy_base,162000000,3822491890111358382170,3820682234817602443052,-473,134
0x91a96351d71fda9d3c6e8ec5ed1a3ea87a3fb8cdba8fe4abb27903673ea6bdfa,8,benign,sell_base,112916394,3822491561710615842671,3820682094194995798267,473,89
0xca18e287e334f1c4806f446fcdbe4a46b037ce3c25e43a5e42751def5ad001c0,9,inventory_improving,buy_base,2550000000,3822511822569931544773,3820365332534212767930,-562,85
0x16aea75e89fbd6796259c86e67ff401c051f9083a4bd58a69017c38bf8ce4382,10,informed,sell_base,1872090633,3822496940549198556731,3820365332534212767930,558,89
0x8ddf14cc63bd4f2f6a741d07cc21cc2eb9f892e674e241fa3dfe5c37a5a85ebd,11,benign,sell_base,87865438946,3821798342672841702497,3820362316143687043294,376,269
0xde0cded9b1c5edfb42d1edf07edf9d090f3f142571566783704f79c150fb3088,12,benign,buy_base,211725481,3821800024769301080182,3820362290363673147309,-376,272
0xb3ddef8e27e5d336541b1256fb7badebe1dce73ecdb0e09fa9b87852918fb514,13,benign,sell_base,2832055228,3821777513701440256899,3820341718627902193119,376,278
0x0941052858758385dfdd79b58e11a23a533050feb66bec0be906e25932aa2ca0,14,benign,buy_base,1062288976,3821785953254576903970,3820837605958414427897,-248,276
0xb09b0bed835f4ae6649b594c7cfed245aa435180d3bc5da3f7878582240bd91d,15,benign,sell_base,779105507,3821779760408047676597,3820837605958414427897,247,277
0x65fb3ffdcc160b1035fb55ba7b30efa02cc9a42d7b7026b985cb9f7aca8e5604,16,benign,buy_base,3952108050,3821811158724840211186,3820962515475692445684,-222,269
0xd9651c1b491f42c4ffa4da869cb4cb2bc79e2261313e56dc113ab533460341dd,17,benign,sell_base,122282542335,3820839230782573394968,3820953885830406744208,-30,523
0x2929d5ac905e97568e78f2cd7f6f14ba95d1d914ff6a9454d3be4b3222cdec90,18,benign,sell_base,2326401515,3820820741241172996103,3820953885830406744208,-35,528
0x448c6e0aee9bce4af496efe6ab71202b24d097075734ce529701d1192ccbda4f,19,benign,buy_base,2206100533,3820838265898626285380,3821533982217504945085,182,520
0x66027139651a000b2c558095b8a87ab5b792d7622896269de28bafc6e6365df8,20,benign,buy_base,998139696,3820846194859766803361,3821533982217504945085,180,518
0x41189137e0259f76ffffec2c45c493d6fc51a477577d2ebc5b27ab67592a2bda,21,benign,sell_base,153044249375,3819629949119676718642,3821508279686168699005,-492,836
0x4963d5407fd9e7331a015b9f3a26b17ae1d0c157c2c82372a539426daf2f0af2,22,benign,sell_base,485740186,3819626089331524146543,3821508279686168699005,-493,837
0xa2dd1e207c677c76fec2c2e00ee90d6f44b0116c834b61b33ba08be3851a9d4b,23,inventory_improving,sell_base,3817701115,3819595753186880619098,3821508279686168699005,-501,845
0xdafb869c6adfa31bad3076018be19aa7730235bd86d9505cfaf97009805e2e8d,24,informed,buy_base,3678179087,3819624966048319057222,3822133050085676179950,657,832
0x35158b6b126022c1d0d8005017a7617d147913ce76e8bf4c5eeee7baf6d3f0d5,25,informed,buy_base,481457128,3819628789888985169438,3822086558395143406593,643,831
0x6a486dccbb1fda550ffd9f126c21c2dc90f0da6388a0792c7e7f8ab3d46bed79,26,inventory_improving,sell_base,905365650,3819621595676077280504,3822086558395143406593,-645,833
0xcee6be8b76ae6f008eaac25a8399e55390f6a1e330784bf78ac34ad27ebbc088,27,informed,buy_base,881479794,3819628596584991270939,3822086558395143406593,644,831
0x1a6a3f2bc6d84b9555c2d598350b624e3ab20bca46a62b298851947068a83fac,28,informed,buy_base,15389030247,3819750820725583100793,3822084968593944338465,611,676
0x02bd68af2fe9c2ad7ce3d32ee1d3f6149e4fbc7902947023d2fac6b0c75d1107,29,benign,buy_base,103344175029,3820571680704116691985,3822054163814257241837,388,461
0xe2547529a965954344bbabcd1952722c61d24254044ec1a41b492d3b6579eb0a,30,benign,buy_base,15423791152,3820694199918350728079,3822031280745267279151,350,429
0x83aaa65a0c9e0ae2c0f5688d4c2bb8885c50de00b86e228c70bb057621e71ee7,31,benign,sell_base,304500000,3820691779887077142328,3822031334240231593839,-351,436
0xb69c773960c67ad7cdbf5b1eede2e2e510f94aab79e8fa4155794ff0704cae20,32,benign,sell_base,1201007591,3820682234817602443052,3822031334240231593839,-353,473
0xbd8b7c10e7a2b7e1ee4bc4149cc0ff6b15b41bc35f4544a9de34a8f47e6f2980,33,benign,sell_base,428080856,3820678832625907632370,3822031334240231593839,-354,474
0x53cf08395b37e1fad8125790cfc9386316551927df2a292429e26e8a82f07903,34,benign,sell_base,356000000,3820676003301186022536,3822031334240231593839,-355,475
0xf0de0c733d618b25069e9aa1676c62a17f9d4071d0d0ba6be7b5d605a667377f,35,benign,buy_base,567572271,3820680511850366988005,3822031334240231593839,354,474
0x4f4902f5e66bf799d162c902e3062592f4f221eec9973bb4ac40b6dfaf2195d9,36,benign,buy_base,498347707,3820684470511684008528,3822058347202691519375,360,473
0xa5f613248000d844a8e9fbcc5112dd48c5fdecc64e333bd5f1d9f14ac492d680,37,benign,sell_base,299000000,3820682094194995798267,3822097006600575721972,-370,473
0x09eab6e1127da8b7c6db66c21e210b427012d311411c1999755b2c854f8e26d9,38,benign,sell_base,39857361992,3820365332534212767930,3822097006600575721972,-453,558
0x9fed0ec82b897368af693eb063c2679e014d4248360ecfe74cb1d26624f16977,39,benign,sell_base,1145535180,3820356228723259087658,3822097006600575721972,-456,560
0xf8bfd883ccb464e2f3c8b54bccf12ddcad717d3c188f378d8901c3022d5a3b76,40,benign,buy_base,766365218,3820362316143687043294,3822096845712459434436,454,376
0xd707f711b6006c2f38b855336e081dadced35a7e219c1f01b277b68f56c288e6,41,benign,sell_base,870253200,3820355374278736944700,3822096845712459434436,-456,378
0xd75f92a2293745774371e526baec836ecfff265a55a859ec1d21e93bbd8c0aca,42,benign,sell_base,1718297267,3820341718627902193119,3822074046490811405354,-453,376
0x49db30a56f41b6f2478c3db345b82eebeccba139c72737b9b5407f46d82cd8f0,43,benign,buy_base,149883426,3820342909184809658745,3822074046490811405354,453,375
0x7b4c92aaa24dfef86086735eab0ff1523cac436b306e3d756979a449994eb839,44,benign,buy_base,62277108058,3820837605958414427897,3822073327717887380917,323,247
0x0bb74021482741843d0df74792847cbbe32b9c36df4c3feeea1c161d5feef9db,45,benign,buy_base,10774153753,3820923193450309252980,3822073327717887380917,301,224
0xd6cbb5d6081d09ea8bfa483b443b14f0e7ce8d2a4f335be01d6b9428eef14f2a,46,benign,buy_base,4950000000,3820962515475692445684,3822081186807515507350,293,222
0x78a8fec7fd2c1dc577d8066b71a67a16278fb90cb6fedc29464144a7395c846c,47,benign,sell_base,1085785883,3820953885830406744208,3822081186807515507350,-295,35
0x21a63cfc24bfdcfeec3aca66694ff7cd1f7ff4f59e8d78f42f568d97a9263686,48,benign,sell_base,8532166993,3820886073927925312114,3822068117039165558254,-309,17
0x35511f2e20164beb0c8847599c146b9af3a7095f4ea313e6d1b02891cf8b3963,49,benign,buy_base,3569880293,3820914432340230501430,3822068117039165558254,302,25
0x2d64e86c9992204e8065ede4f3c21a7a879c6fb2751c9cea6cbb894b71d1d955,50,benign,buy_base,78032828524,3821533982217504945085,3822022823783752990943,128,180
0x247bfee6f061f8a97fb6abe5b15584554a5b7c07aa6c2b9ad36a85b494b43b36,51,benign,sell_base,107071240442,3821508279686168699005,3822022823783752990943,-135,501
0x1a35c30212b1fb8d0789b117c0303f88a85907481ad3b0554c7194c24b7ce50e,52,benign,buy_base,78639344438,3822133050085676179950,3822022823783752990943,-29,657
0x8cc49098556dec5d49199bb8188906ce25d4d307794936f0524ff7a9b669f526,53,benign,sell_base,4966262931,3822093573089594037912,3822022823783752990943,19,646
0x541c0e013a2078a661189f08013967c0200476f5bd6026c984fa292b6e061b9d,54,benign,sell_base,882461342,3822086558395143406593,3821690111939404062890,104,644
0xdd42929e73dce39413712292e37514bdea5cf0141265c1a44a5b7c1f11dc597d,55,benign,sell_base,200000000,3822084968593944338465,3821690111939404062890,103,611
0x28137bf65d0bcc3f5c3e056d5ea7984cfbdb340e6cb927751eb993009e5c7260,56,benign,sell_base,3875307803,3822054163814257241837,3821690111939404062890,95,388
0x1fb6beefc4961223406d85969765f8238784c712be29203e7861ebf0dde73337,57,benign,sell_base,2878749600,3822031280745267279151,3821690111939404062890,89,350
0x3033f68909c6171b20e752043a07d53c790cd41862bc64797bfe889b2242503b,58,benign,sell_base,17029139319,3822028870870232953330,3821690111939404062890,89,349
0x660b068323104553060b074f9fd84ae7b6619b493cf5a379a4ddd47dec12a95c,59,benign,buy_base,310053892,3822031334240231593839,3821684767319369886699,-91,354
0x418316e35e6237e9f9e3e60c64432b7dcfed5911448f28803f2520031ff1fada,60,benign,buy_base,3400000000,3822058347202691519375,3821724368148404223676,-87,360
0x4974261efd8d53882b3325f97f6d162f97033a8f94a42a7952f27388db4deaef,61,benign,buy_base,4000000000,3822090127280741170296,3821724368148404223676,-96,368
0x25c2b13ee4b09569324eca7a2268ca22e1c79568b0e26a5e3f3bf8e117a711c7,62,benign,buy_base,500000000,3822094099799787325983,3821724368148404223676,-97,369
0xd6763ddfb913ee0af7ce27406964414f2143023e420f58ce9c8acd058af74ebe,63,benign,sell_base,1259984060,3822084084174575629314,3821724368148404223676,94,366
0xc594fb3400451dcfb33b729f299180bf16f529316ea7e75df3c24c95c4d3d598,64,benign,buy_base,2687302067,3822105434899246232727,3821724368148404223676,-100,372
0x228b13530d6a987f3c18bb0f8dc30456f42afb9172d2c8517b52805093a462c7,65,benign,sell_base,1060293781,3822097006600575721972,3821723465250116605431,98,456
0xefdefc91c183aabd11077601ab31fed581e01bd984979db74af81e39a408ce2f,66,benign,sell_base,2868185356,3822074046490811405354,3821714158657703931184,94,453
0x1de5940ea34db96e8f71ab5e14093043c1507b867d6f7b4ef6c3ee9c2a3b7e7b,67,benign,buy_base,1005182043,3822081186807515507350,3821698329276946978247,-100,295
0xd823a38f3024f5d1f1d1250a9c00ebd5d8962021cf9b6ff8d71c8b57857128b8,68,benign,sell_base,3513277299,3822053259812932601935,3821698329276946978247,93,288
0xbc5784c0b2983c7ecce0983960141fcc7eea3805ae938f43e8f485acdd6e3b51,69,benign,buy_base,2000000000,3822069149824866681115,3821698329276946978247,-97,292
0xca50b0246b51d09bc0438003a54198de352605396a48eea3bd1c0e01e1f50c04,70,benign,sell_base,129926687,3822068117039165558254,3821335647521265188828,192,302
0xcab1fc986f9106dbac479928b01cb2bd8b468842a4996de075de2e190efaf338,71,benign,sell_base,5116255967,3822027448091879511644,3821308750266135628905,188,291
0x9c640532e05ec14fe3dd47f764c53dcb62dd2801162714ff442ea55f21e8e965,72,benign,sell_base,546477579,3822023104172699698408,3821308750266135628905,187,290
0x6bed242153b008532d36817165824c899c311b44d4e639b9f5e4686dd0f000fc,73,benign,sell_base,293117730,3822020493808693376546,3821117017495233644388,236,19
0x1b299e084ff99587dcda4f372212dc77d1cc4ca1f1bef64a586eb915ac549961,74,benign,buy_base,5424375214,3822063590394095437305,3821117017495233644388,-248,8
0xac370823bff5394d0bfd95b726b29fe46743645f316c867744e361a1c9803de4,75,benign,sell_base,46985580645,3821690111939404062890,3820602474599634637704,285,89
0x547892f1a6a45fbf439d7407cbd19ee301edea34d1d2e7fd250b0a98216f7e5d,76,benign,sell_base,802152976,3821683735953278693951,3820602474599634637704,283,90
0xe79f5a364f726163319dc0155b426536682a4229a0dc8d6b9c2d77510f7cfe17,77,benign,buy_base,129819532,3821684767319369886699,3820646863501985112538,-272,91
0x2c3270b571280868051e7529ed9ca3409175f39a63a5e0c2c15c78c9c96aeb2e,78,benign,buy_base,4984600000,3821724368148404223676,3820466897840918609687,-329,100
0xdfb8d2a3398d43a7bc3a74e5ab6714bdd452d63085e0e22942fbc51ec8901198,79,benign,sell_base,113591690,3821723465250116605431,3820468296819071724650,328,98
0x7d958b7fb8194bc9149e68b4229c9c17c4b0ea7ef3660c8ad8bd512e172f399a,80,benign,sell_base,399798627,3821720287399719538917,3820468296819071724650,328,99
0xb0adae748a0b42836872fb53eb897589122f7f108ff30fcf3b234c3e9fa61c0e,81,benign,sell_base,214036710,3821718586102161222681,3819936344337094570249,466,99
0xcf141c027b675ce6dd59ca58e193810fc0b6267bc8957ace6b704396aa9297ff,82,benign,sell_base,557007810,3821714158657703931184,3819936313997073157893,465,94
0x3ebfac5713f3d936cc08aab84115df09c68a5417628e272dd4bbb28a8a712f9d,83,benign,sell_base,1695727436,3821700679977317976205,3819936313997073157893,462,97
0x426d4994b616ea85ffa53551045ced708479c6ae1bd34b2e6a4de968de63e75a,84,benign,sell_base,295737500,3821698329276946978247,3819936313997073157893,461,97
