trade_id,scenario_id,flow_class,reference_status,policy,notional_quote_micro,upfront_fee_quote_micro,retained_fee_quote_micro,rebate_quote_micro,lp_protection_quote_micro,adverse_selection_proxy_quote_micro,lp_net_after_proxy_quote_micro,settlement_status,rejected_reference_attempts,expired_settlements,reactive_callbacks,modeled_callback_gas_budget
0x2af9bc2e2670259096a48e6bdd1081af46af40f0c3770c904a009f2c7652430e,benign_random_flow,benign,valid,fixed,200000000,600000,600000,0,0,0,600000,not_required,0,0,0,0
0x2af9bc2e2670259096a48e6bdd1081af46af40f0c3770c904a009f2c7652430e,benign_random_flow,benign,valid,volatility,200000000,784800,784800,0,0,0,784800,not_required,0,0,0,0
0x2af9bc2e2670259096a48e6bdd1081af46af40f0c3770c904a009f2c7652430e,benign_random_flow,benign,valid,markout,200000000,1600000,750000,850000,150000,0,750000,settled,0,0,2,800000
0xbe4e469ced1937582cb7ef0fb83913efaf7ab1817e9f3a963bffed231af8a54b,benign_random_flow,benign,valid,fixed,352000000,1056000,1056000,0,0,278080,777920,not_required,0,0,0,0
0xbe4e469ced1937582cb7ef0fb83913efaf7ab1817e9f3a963bffed231af8a54b,benign_random_flow,benign,valid,volatility,352000000,1289024,1289024,0,0,278080,1010944,not_required,0,0,0,0
0xbe4e469ced1937582cb7ef0fb83913efaf7ab1817e9f3a963bffed231af8a54b,benign_random_flow,benign,valid,markout,352000000,2816000,1852928,963072,796928,278080,1574848,settled,0,0,2,800000
0x71917417ee6304b79edd2a48b2a73d9d77172aa1140672971d9ddd32909a2efe,benign_random_flow,benign,valid,fixed,3704000000,11112000,11112000,0,0,0,11112000,not_required,0,0,0,0
0x71917417ee6304b79edd2a48b2a73d9d77172aa1140672971d9ddd32909a2efe,benign_random_flow,benign,valid,volatility,3704000000,15034536,15034536,0,0,0,15034536,not_required,0,0,0,0
0x71917417ee6304b79edd2a48b2a73d9d77172aa1140672971d9ddd32909a2efe,benign_random_flow,benign,valid,markout,3704000000,29632000,13993712,15638288,2881712,0,13993712,settled,0,0,2,800000
0x37c807e62063c3b67f7dd1b615c510c4f3bad28d1e65c3dee1740965b34949c2,benign_random_flow,benign,valid,fixed,2712000000,8136000,8136000,0,0,0,8136000,not_required,0,0,0,0
